MATR_ALUNO,ANO,MEDIA_FINAL,SITUACAO,COD_ATIV_CURRIC,FREQUENCIA,SIGLA
0,2011,50,Aprovado,CI055,"96,6666666666667",Aprovado
0,2011,32,R-nota,CM201,90,Reprovado
0,2011,33,R-nota,CI068,100,Reprovado
0,2011,38,R-nota,CM045,100,Reprovado
0,2011,10,R-nota,CM046,100,Reprovado
0,2011,38,R-nota,CI056,100,Reprovado
0,2011,74,Aprovado,CM201,"93,3333333333333",Aprovado
0,2011,79,Aprovado,CI068,100,Aprovado
0,2011,75,Aprovado,CM045,100,Aprovado
0,2011,28,R-nota,CM046,"93,3333333333333",Reprovado
0,2011,33,R-nota,CI067,80,Reprovado
0,2012,35,R-nota,CM005,100,Reprovado
0,2012,53,Aprovado,CI056,"86,6666666666667",Aprovado
0,2012,9999,Cancelado,CM202,100,Cancelado
0,2012,9999,Cancelado,CI166,100,Cancelado
0,2012,60,Aprovado,CI067,"96,6666666666667",Aprovado
0,2012,9999,Cancelado,CI210,100,Cancelado
0,2012,25,R-nota,CI057,"96,6666666666667",Reprovado
0,2012,87,Aprovado,CM202,80,Aprovado
0,2012,10,Reprov Conhecimento,CM046,100,Rep Conhec
0,2012,77,Aprovado,CI166,100,Aprovado
0,2012,5,R-nota,CI210,"93,3333333333333",Reprovado
0,2013,8,R-nota,CM005,"76,6666666666667",Reprovado
0,2013,70,Aprovado,CI057,100,Aprovado
0,2013,92,Aprovado,CI235,100,Aprovado
0,2013,0,R-nota,CM046,100,Reprovado
0,2013,50,Aprovado,CI210,"86,6666666666667",Aprovado
0,2013,64,Aprovado,CI064,100,Aprovado
0,2013,37,R-nota,CM005,100,Reprovado
0,2013,94,Aprovado,CI236,100,Aprovado
0,2013,83,Aprovado,CM046,100,Aprovado
0,2013,10,Reprovado por Frequencia,CI237,"63,3333333333333",Repr. Freq
0,2013,45,R-nota,CI212,"96,6666666666667",Reprovado
0,2014,84,Aprovado,CI204,"93,3333333333333",Aprovado
0,2014,10,Reprov Conhecimento,CM005,100,Rep Conhec
0,2014,29,R-nota,CI237,100,Reprovado
0,2014,31,R-nota,CI212,"96,6666666666667",Reprovado
0,2014,53,Aprovado,CM005,75,Aprovado
0,2014,29,R-nota,CE003,"76,6666666666667",Reprovado
0,2014,14,R-nota,CI059,100,Reprovado
0,2014,34,R-nota,CI237,100,Reprovado
0,2014,52,Aprovado,CI212,100,Aprovado
0,2015,6,Reprov Conhecimento,CI059,100,Rep Conhec
0,2015,82,Aprovado,SA214,"96,6666666666667",Aprovado
0,2015,34,Reprovado por Frequencia,CI237,"68,3333333333333",Repr. Freq
0,2015,55,Aprovado,CI058,100,Aprovado
0,2015,50,Aprovado,CI237,100,Aprovado
0,2015,10,Reprovado por Frequencia,CI163,70,Repr. Freq
0,2015,50,Aprovado,CI062,"76,6666666666667",Aprovado
0,2015,81,Aprovado,CI220,100,Aprovado
0,2016,8,Reprovado por Frequencia,CI065,"73,3333333333333",Repr. Freq
0,2016,29,R-nota,CI059,"93,3333333333333",Reprovado
0,2016,70,Aprovado,CI163,90,Aprovado
0,2016,60,Aprovado,CI061,"91,6666666666667",Aprovado
0,2016,34,R-nota,CI215,"76,6666666666667",Reprovado
0,2016,64,Aprovado,CI320,100,Aprovado
0,2016,15,Reprovado por Frequencia,CI065,70,Repr. Freq
0,2016,14,R-nota,CI165,100,Reprovado
0,2016,27,R-nota,CI221,90,Reprovado
0,2016,8,R-nota,CI164,90,Reprovado
0,2016,50,Aprovado,CI059,"96,6666666666667",Aprovado
0,2016,24,R-nota,CI218,"86,6666666666667",Reprovado
0,2016,15,R-nota,CI215,100,Reprovado
0,2016,70,Aprovado,CI070,100,Aprovado
0,2017,50,Aprovado,CI165,100,Aprovado
0,2017,69,Aprovado,CI218,"91,6666666666667",Aprovado
0,2018,79,Aprovado,CI205,"93,3333333333333",Aprovado
0,2018,58,Aprovado,CI211,100,Aprovado
0,2018,76,Aprovado,CI162,100,Aprovado
0,2018,71,Aprovado,CE003,"86,6666666666667",Aprovado
0,2018,67,Aprovado,CI209,"86,6666666666667",Aprovado
0,2018,55,Reprovado por Frequencia,CI171,40,Repr. Freq
0,2018,82,Aprovado,CI221,"86,6666666666667",Aprovado
0,2018,53,Aprovado,CI311,"76,6666666666667",Aprovado
0,2018,13,R-nota,CI164,"76,6666666666667",Reprovado
0,2019,50,Aprovado,CI065,100,Aprovado
0,2019,13,R-nota,CI164,"76,6666666666667",Reprovado
0,2019,30,R-nota,CI215,"83,3333333333333",Reprovado
0,2019,50,Aprovado,CI099,100,Aprovado
0,2019,9999,Trancamento Administrativo,TRT002,0,TrancAdm
1,2012,17,R-nota,CI055,"96,6666666666667",Reprovado
