matricula,codigo,disciplina,periodo,ano,curriculo,ch,nota,frequencia,status,tipo,observacao,natureza,situacaoDiscente,nomeTuma,codigoCurriculoSie
0,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,67,96,Aprovado,TURMA,C,Obrigatória,Conclusão formatura,,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,73,R-freq,TURMA,,Obrigatória,Registro ativo,A,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,11,76,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,B,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,ERE 2 - D,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,3,17,R-freq,TURMA,,Obrigatória,Registro ativo,A,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,21,80,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,25,R-freq,TURMA,,Obrigatória,Registro ativo,BCC2,21A
1,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
2,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,72,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
3,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,72,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
4,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,BCC2,21A
